,Unnamed: 0,names,tag_lines,personality,sex,breed,rescue_grp,location,coat,date,fee,age_in_months,preference
0,0,Stone,Affectionate and Playful,"*Please note Stone has time remaining in foster care, this is a pre-adoption*
Meet Stone,
Stone is a handsome boy with the sweetest personality you could want!
Stone is a gentle natured boy who adores human attention. He is a quiet sensitive soul so he does take a little time to warm up but once he is settled, he will be your shadow and best friend. His favourite activities are wrestling his brothers and climbing up and down the cat tower on repeat. This sweet boy has such a loving soul despite his initial shyness when first meeting new people. Little Stone just wants to be your best friend and shadow, and will be the most loyal lifelong companion who will cuddle up in bed with you any chance he can; you'll never have an empty lap with Stone around. 
Stone is a sweet, affectionate and joyful little man who craves company, and it is due to this he will need to be adopted with one of his brothers as he heavily dislikes other cats. He would be alright with a household with older children and no dogs. 
If you would like to submit an adoption application for Stone please follow the link below to our website:
http://www.fosterkittensofmelbourne.org/adopt",Male,Domestic Short Hair Cat,Foster Kittens Of Melbourne,"Wantirna South, VIC",Short,"14 Jan, 2022",400.00,4.0,
1,1,Bart & Lisa,Affectionate and Playful,"*This is a pre-adoption, Bart and Lisa have time remaining in foster care*
Meet Bart and Lisa,
Bart is a brown and white tabby king and Lisa is a tabby queen!
Bartholemew, known as Bart, El Barto, Barty Boxtrot or The Bartarino to his friends, is a delicate little picture of perfect manners to cats and humans alike. Barts a tiny nobleman. He likes to be chauffeured from place to place in your arms, constant cuddles, and has the softest fur known to humankind. Dont let his gentlemanly countenance fool you - he still gets bouts of playful zooms, and is perhaps one of the clumsiest cats ever seen.
Then theres Lisa. While Barts the face of the operation, Lisas the brains. Shes a small burst of energy contained in kitten form. Lisa is a pouncer, a little busy body and just loves to play! If theres something to investigate, Lisa will be there. If theres a fly in the house, Lisa will chase it. If there is anything new whatsoever, she will sniff it, then sniff it again to be sure. Her loves include her brother Bart, any adult cat, having her little belly rubbed, and snuggles.
Together, this dynamic duo with matching stamps of a swirl on their fur and complementary personalities bring life and constant entertainment into any home theyre in.
If you'd like to submit an adoption application for Bart and Lisa, please follow the link below:
www.fosterkittensofmelbourne.org/adopt",Male,Domestic Short Hair Cat,Foster Kittens Of Melbourne,"Docklands, VIC",Short,"14 Jan, 2022",700.00,3.22,
2,2,Slate,Handsome & Cheeky,"*Please note Slate has time remaining in foster care, this is a pre-adoption*
Meet Slate,
This handsome man will sure weasel his way into your heart!
Slate is such a loving, yet cheeky little rascal. He has so much attitude and spunk to him but he craves human attention and affection. Slate spends his days wrestling with his brothers as he has an abundance of energy and is full of beans most of the time. He is a very inquisitive, mischievous and curious little man who needs to be all up in your business all the time. Once hes finished his playing he loves to just take up a spot on his foster mums lap and fall asleep with his engine roaring. He just wants to be your best friend and shadow. At first, meeting new people can be a bit scary to him but he warms up quickly given time and patience. 
Slate is a bubbly, laid back and adoring soul who just simply loves life and wants to get the most out of every second. He will be hot on your heels wanting to be involved in everything his family is. Slate heavily dislikes other cats so will need to be adopted with one of his siblings as he constantly needs to be either cuddling with them or wrestling. A household with gentle older children would be suitable for him. 
If you would like to submit an adoption application for Slate, please follow the link below to our website:
www.fosterkittensofmelbourne.org/adopt",Male,Domestic Medium Hair Cat,Foster Kittens Of Melbourne,"Wantirna South, VIC",Medium,"14 Jan, 2022",400.00,4.0,
3,3,Onyx,Beautiful Soul,"*Please note Onyx has time remaining in foster care, this is a pre-adoption*
Meet Onyx,
He is a handsome loving little man, with a whole lot of attitude to go with the looks.
Onyx is a smoochy affectionate boy, who just loves to be loved. Other than wrestling his siblings, his favourite activity is to snuggle up with his foster parents in bed. He's very cheeky and strong willed, and has a voice on him to tell you off, or demand attention. Onyx absolutely can't resist snuggling into a lap, or smothering a chest with his engine running wild while baking biscuits. He will often wake up through his naps to just make sure we are still there and chirp to us about his dreams. Onyx can be quite shy and skittish when meeting new people, but when settled he is a complete shadow and will be hot on your heels always.
Onyx is a cheeky, loving and independent boy who does things on his own terms. He wants to be all up in your business and be apart of everything you do. Onyx is very social, however he heavily dislikes other cats so will need to be adopted with one his brothers. He would be best suited to a quiet home with older children and no dogs. 
If you would like to submit an adoption application for Onyx please follow the link below to our website:
http://www.fosterkittensofmelbourne.org/adopt",Male,Domestic Short Hair Cat,Foster Kittens Of Melbourne,"Wantirna South, VIC",Short,"14 Jan, 2022",400.00,4.0,
4,4,Pebble,Super Snuggly,"*Please note Pebble has time remaining in foster care, this is a pre-adoption*
Meet Pebble,
He is a total heartbreaker and a massive ray of sunshine!
Pebble is a mischievous little boy, who just craves human attention and love. Once he's finished wrestling and playing with his siblings, he loves snuggling up into a ball in his foster mums' lap with his engine roaring! He is a very curious and inquisitive boy who loves getting into anything he can, especially food. Be warned, he's nailed the signature puppy eyes! Little Pebble  just wants to be your best friend and shadow, and will be the most loyal lifelong companion who will cuddle up in bed with you any chance he can; you'll never have an empty lap with him around! Pebble takes a little time to warm up to new people and surroundings, but in no time and with some patience he'll be bouncing around. 
Pebble is a cheeky, loving and sweet boy who lives life to the fullest each day. He wants to be all up in your business and be apart of everything you do while having fun. He will need to be adopted with one his brothers as he heavily dislikes other cats, yet needs a feline companion. He would be suited to a home with gentle children who understand boundaries.
If you would like to submit an adoption application for Pebble please follow the link below to our website:
www.fosterkittensofmelbourne.org/adopt",Male,Domestic Medium Hair Cat,Foster Kittens Of Melbourne,"Wantirna South, VIC",Medium,"14 Jan, 2022",400.00,4.0,
5,5,Wyatt,Gentle & Loving,"*Please note Wyatt has time remaining in foster care, this is a pre-adoption*
Meet Wyatt,
He is a lovingly gentle giant!
Wyatt is such a calm, affectionate and tender soul who just wants to be as close to people as possible. He is the quiet achiever of his litter of 4, being the only boy. He loves nothing more than to snuggle up with his foster mum and be cradled like a baby in her arms, and to be hot on her heels always like a shadow. Wyatt loves to run wild with his siblings, playing tag, wrestling or even just chewing their tail as all siblings do. Kisses are an essential part of his daily routine whenever you are free, and even when your busy he makes sure to shower you with kisses and nuzzles to remind you he's there. Heartbreaker, total sweetheart and a ladies man are a few ways to describe this incredible boy. He will make the most amazing lifelong companion. When first meeting new people he can be quite reserved and shy, but given time he does get comfortable.
Wyatt has a laid back, loving and joyous temperament which shines bright in his foster home. He will need a family that is willing to help his confidence grow and that has patience. Given his social nature with his foster siblings he would ideally go to a household with his sister Piper. Wyatt has been exposed to children and would be suited to a home preferably teenagers. 
If you'd like to submit an adoption application for Wyatt, follow the link below to our website:
www.fosterkittensofmelbourne.org/adopt",Male,Domestic Short Hair Cat,Foster Kittens Of Melbourne,"Wantirna South, VIC",Short,"14 Jan, 2022",400.00,3.45,
6,6,Piper,Loving Little Miss,"*Please note Piper has time remaining in foster care, this is a pre-adoption*
Meet Piper,
She is a sweet, stunning little pocket rocket! 
Piper is a beautiful little girl, who just craves affection and love. Her favourite things to do are to snuggle up with her foster parents in bed and give them endless kisses, and to be with her foster siblings whom she adores. This little lady truly has the most loving, gentle and sweetest nature; she is nothing but a ray of sunshine in her foster home. Piper is very curious and inquisitive therefore she loves to climb and explore everything she can. Upon meeting new people she can be quite shy, but once she is comfortable, she'll be all over you showering you with her love and kisses. The amount of love in this little girl is astounding, don't be fooled she also has an incredible amount of attitude which just adds to her charm. She is hot on her foster parents heels always, craving human company and love. 
Piper is a cheeky, loving and sassy girl who does things on her own terms but is always near you or mostly on you.  She wants to be all up in your business and be apart of everything you do. Piper would be best suited to a home where she will have her brother Wyatt to keep her company. She would be suited to a home with teenagers, no young children under 13. 
If you'd like to submit an adoption application for Piper, follow the link below to our website:
www.fosterkittensofmelbourne.org/adopt",Female,Domestic Short Hair Cat,Foster Kittens Of Melbourne,"Wantirna South, VIC",Short,"14 Jan, 2022",400.00,3.45,
7,7,Frankie,Lots of Love to Give,"Frankie is a stunning young boy with lots of love to give to his new hooman/s.  He's had a rough start to life being born on the streets until he came into our care earlier this year and fostered.  Within a short time, he has gone from being unable to be touched to loving his back and neck scratches.   He'll reach out with his paw when his foster mum stops the pats, asking for more.  When being patted, he purrs loudly showing his appreciation.
Frankie's new home will need to have a hooman experienced with shy cats and patient as he continues his development.  
He would be best suited to a home without young children as he does get easily frightened.
From his days on the streets, Frankie is FIV+ meaning he needs to be kept contained indoors and even better, if he has an outdoor cat run as well as he does enjoy spending time outside.
Whoever adopts Frankie will have a loyal friend for life.",Male,Domestic Short Hair Cat,Bast Cat Club,"Kangaroo Ground, VIC",Short,"14 Jan, 2022",200,17.0,Doesn't have kids under 5| Doesn't have kids from 6 to 12
8,8,Melody,Looking for love,"Melody has come a long way since first arriving in our care several months ago. She had a litter of tiny kittens with her, all of whom have now been adopted. It is now our beautiful girls time to find her forever home. Melody is timid in new surroundings but with love, patience, and time she has blossomed into a sweet and loving girl. She is very gentle and has a low maintenance nature. Melody is quite happy to spend time alone but she enjoys company. She loves pats and chin scratches and purrs away to voice her contentment. When Melody is completely at ease, she lays on her back for tummy rubs and makes the sweetest little trilling noise. She absolutely loves toys and can often be heard playing away with them and especially loves her cat tunnel.  We must also mention how gorgeous Melody is. With her big bushy tail and soulful green eyes she is absolutely stunning. She has a very distinctive coloured medium length coat which she maintains very well. 
Melody is seeking an understanding forever person, preferably with experience with timid cats. She is sure to continue to flourish and will make a loving companion. Once she settles in we can see her following her person around the house and sticking close to them.  
Melody has been vet checked, vaccinated, microchipped 900141000070759 and is current with flea and worm treatment. Source Number: RE161465. 
**ADOPTION SURVEY**
Please provide as much detail as possible as this allows us to match the cats individual needs and personality to their potential families. Only those that are completed in full will be considered.
 List the ages of your household members (include those who stay regularly)
 List any pets in your home and provide details of their breed, age and if they are desexed
 If applicable how do your pets get along with other animals?
 Please describe any experience you have had with owning cats (specifically timid cats if applicable)
 What is your main reason for wanting to adopt this cat?
 Have you ever given away or surrendered a pet? If so, please describe the situation.
 Provide a brief description of your property e.g.: unit, suburban house, acreage etc 
 Will your cat be kept inside only, inside/outside, outside only?
 Where will your cat sleep?
 What would happen to the cat if you moved?
 Do you consent to a house check to determine its suitability for the cat? If no, please explain your reasoning.
 If your application is shortlisted, when are you available to attend a meet and greet?
 If the meet and greet is successful, when are you available to adopt the cat?",Female,Domestic Medium Hair Cat,Ollie's Legacy Incorporated,"Bendigo, VIC",Medium,"14 Jan, 2022",100.00,17.0,Doesn't have kids under 5| Doesn't have kids from 6 to 12
9,9,Perseus,Loves Zora,"Perseus needs the most special family who will expect nothing from her.
She loves Zora - a cat she has bonded with.
She would do best in a quite house, starting off in a smaller space.
She can be pat and can be picked up. - though she prefers not to - we really dont know her whole story.
Do you have space in your heart and home for these girls?
They love the study and are great work from home companions.",Female,Domestic Medium Hair Cat,MEOW Rescue,"Langwarrin, VIC",Medium,"14 Jan, 2022",100.00,48.0,
